xtitle,ytitle,actuals_x,actuals_y,Error_X,Error_Y
88.77321334504497,114.29915433403804,155.0,157.0,0.18980335657276856,0.17383215769650084
172.80809920946507,119.26532769556026,139.0,147.0,,
149.90808165030435,123.1279069767442,135.0,126.0,,
134.7777129058589,126.25475687103594,164.0,176.0,,
149.90808165030435,129.19767441860466,150.0,129.0,,
144.79647058799168,145.19978858350953,173.0,119.0,,
138.867001755709,147.03911205073996,135.0,148.0,,
134.7777129058589,148.14270613107823,181.0,149.0,,
180.7822124666728,149.06236786469344,144.0,154.0,,
117.80716417898086,153.10887949260044,118.0,153.0,,
143.77414837552917,154.02854122621565,145.0,145.0,,
154.81522827012452,157.1553911205074,89.0,114.0,,
163.81166373979477,176.100422832981,150.0,123.0,,
